Date,Adj Close,Close,High,Low,Open,Volume
2010-01-04,6.406479835510254,7.643214225769043,7.660714149475098,7.585000038146973,7.622499942779541,493729600
2010-01-05,6.417557716369629,7.656428813934326,7.699643135070801,7.6160712242126465,7.664286136627197,601904800
2010-01-06,6.315478324890137,7.534643173217773,7.68678617477417,7.526785850524902,7.656428813934326,552160000
2010-01-07,6.303801536560059,7.520713806152344,7.5714287757873535,7.466071128845215,7.5625,477131200
2010-01-08,6.345712661743164,7.570713996887207,7.5714287757873535,7.466429233551025,7.510714054107666,447610800
2010-01-11,6.289732933044434,7.503929138183594,7.607142925262451,7.444643020629883,7.599999904632568,462229600
2010-01-12,6.218186378479004,7.4185709953308105,7.491786003112793,7.372142791748047,7.471070766448975,594459600
2010-01-13,6.305896282196045,7.523213863372803,7.533214092254639,7.289286136627197,7.423929214477539,605892000
2010-01-14,6.269374847412109,7.479642868041992,7.5164289474487305,7.465000152587891,7.503929138183594,432894000
2010-01-15,6.164601802825928,7.354642868041992,7.557143211364746,7.352499961853027,7.533214092254639,594067600
2010-01-19,6.437316417694092,7.679999828338623,7.685357093811035,7.401429176330566,7.440357208251953,730007600
2010-01-20,6.338228225708008,7.56178617477417,7.698214054107666,7.482142925262451,7.675356864929199,612152800
2010-01-21,6.228662014007568,7.431070804595947,7.618214130401611,7.400356769561768,7.574285984039307,608154400
2010-01-22,5.919730186462402,7.0625,7.410714149475098,7.041429042816162,7.385000228881836,881767600
2010-01-25,6.078986644744873,7.252500057220459,7.310713768005371,7.1496429443359375,7.232500076293945,1065699600
2010-01-26,6.164901256561279,7.355000019073486,7.632500171661377,7.235000133514404,7.3553571701049805,1867110000
2010-01-27,6.2229766845703125,7.424285888671875,7.520713806152344,7.126070976257324,7.387499809265137,1722568400
2010-01-28,5.965830326080322,7.117499828338623,7.339285850524902,7.096428871154785,7.318929195404053,1173502400
2010-01-29,5.749399185180664,6.859285831451416,7.221428871154785,6.794642925262451,7.181428909301758,1245952400
2010-02-01,5.829326629638672,6.9546427726745605,7.0,6.8321428298950195,6.870357036590576,749876400
2010-02-02,5.863152980804443,6.994999885559082,7.0114288330078125,6.906428813934326,6.996786117553711,698342400
2010-02-03,5.9640350341796875,7.115356922149658,7.150000095367432,6.943571090698242,6.9703569412231445,615328000
2010-02-04,5.74909782409668,6.85892915725708,7.0846428871154785,6.841785907745361,7.026071071624756,757652000
